{x=89,m=520,a=174,s=541}
{x=249,m=1377,a=1676,s=1475}
{x=393,m=659,a=2411,s=401}
{x=831,m=43,a=2818,s=22}
{x=1415,m=656,a=32,s=822}
{x=17,m=2006,a=2218,s=1734}
{x=1087,m=223,a=214,s=527}
{x=267,m=688,a=2666,s=2571}
{x=1567,m=774,a=1729,s=535}
{x=1505,m=1697,a=1541,s=929}
{x=405,m=11,a=1122,s=611}
{x=442,m=644,a=3914,s=99}
{x=222,m=1,a=2380,s=952}
{x=2368,m=842,a=278,s=849}
{x=3831,m=6,a=1846,s=12}
{x=658,m=168,a=2667,s=1225}
{x=119,m=625,a=212,s=10}
{x=12,m=3009,a=3397,s=96}
{x=615,m=421,a=600,s=1462}
{x=1998,m=2224,a=153,s=673}
{x=1088,m=541,a=1107,s=301}
{x=29,m=2158,a=1528,s=2111}
{x=3167,m=35,a=565,s=1126}
{x=951,m=2723,a=1827,s=9}
{x=477,m=3272,a=2770,s=2031}
{x=633,m=319,a=99,s=344}
{x=257,m=1393,a=2204,s=402}
{x=139,m=844,a=548,s=843}
{x=1569,m=964,a=162,s=102}
{x=598,m=115,a=860,s=567}
{x=1215,m=402,a=636,s=1471}
{x=964,m=3060,a=124,s=732}
{x=626,m=292,a=113,s=18}
{x=174,m=248,a=118,s=3404}
{x=12,m=158,a=534,s=493}
{x=939,m=91,a=1330,s=478}
{x=229,m=884,a=828,s=632}
{x=1269,m=1300,a=837,s=1687}
{x=1169,m=838,a=1495,s=784}
{x=336,m=326,a=1007,s=2509}
{x=3042,m=639,a=889,s=1019}
{x=19,m=144,a=86,s=1074}
{x=287,m=2865,a=2964,s=16}
{x=1,m=9,a=566,s=390}
{x=600,m=330,a=755,s=1505}
{x=782,m=693,a=1539,s=2592}
{x=385,m=1941,a=156,s=1234}
{x=973,m=1171,a=399,s=20}
{x=77,m=2288,a=1587,s=107}
{x=619,m=1204,a=2456,s=44}
{x=67,m=998,a=53,s=1662}
{x=1384,m=362,a=1631,s=562}
{x=594,m=546,a=1981,s=218}
{x=906,m=549,a=1420,s=73}
{x=3243,m=713,a=56,s=1735}
{x=133,m=946,a=2444,s=94}
{x=541,m=2117,a=2719,s=378}
{x=324,m=1497,a=1236,s=39}
{x=1651,m=738,a=78,s=756}
{x=744,m=1025,a=1735,s=2854}
{x=816,m=28,a=2289,s=1346}
{x=1886,m=385,a=305,s=1920}
{x=2007,m=2937,a=1725,s=2135}
{x=514,m=952,a=1008,s=1787}
{x=204,m=1731,a=104,s=208}
{x=24,m=2194,a=98,s=149}
{x=2446,m=692,a=538,s=1091}
{x=2832,m=1148,a=68,s=1494}
{x=33,m=1902,a=3349,s=2577}
{x=1664,m=2270,a=118,s=2217}
{x=59,m=498,a=730,s=2103}
{x=1478,m=268,a=745,s=270}
